Topic,Count,Name,Representation
0,887,the_pr_to,"the, pr, to, guidelines, for, this, author, checkboxes, pull, are"
1,182,and_to_the,"and, to, the, of, vehicle, is, in, state, for, with"
2,119,manager_runtime_tab,"manager, runtime, tab, fix, computing, add, sys, cpu, dialog, gui"
3,42,velocity_waypoints_is,"velocity, waypoints, is, mpc, waypoint, of, the, in, to, and"
4,25,update_readmemd_video,"update, readmemd, video, quick, videos, instruction, start, add, documents, manuals"
5,23,runtime_manager_paramyaml,"runtime, manager, paramyaml, foodata, pcdarealist, sigint, rviz, remote, maptools, pcd"
6,22,autoupdate_none_ciprecommitansible,"autoupdate, none, ciprecommitansible, ciprecommit, ciprecommitoptional, , , , , "
7,19,euclidean_cluster_clustering,"euclidean, cluster, clustering, segmentation, lidar, objects, added, in, clusters, the"
8,18,vectormapserver_vectormap_server,"vectormapserver, vectormap, server, mapdb, vector, map, of, fix, namespace, vectormaphassubscribed"
9,16,field_nl_topic,"field, nl, topic, potential, name, rtm, change, tabs, dialog, windows"
10,12,remove_needless_unnecessary,"remove, needless, unnecessary, delete, error, file, output, garbage, receieved, getfile"
